,User votes
1393,"2,465 votes"
1394,633 votes
1395,40 votes
1396,65 votes
1397,"88,901 votes"
1398,"19,654 votes"
1399,"1,399 votes"
1400,"48,104 votes"
1401,"2,734 votes"
1402,392 votes
1403,"1,103 votes"
1404,297 votes
1405,"4,274 votes"
1406,"3,678 votes"
1407,"132,371 votes"
1408,33 votes
1409,63 votes
1410,253 votes
1411,"7,166 votes"
1412,"128,406 votes"
1413,"1,163 votes"
1414,417 votes
1415,23 votes
1416,"52,241 votes"
1417,50 votes
1418,266 votes
1419,"69,163 votes"
1420,"185,686 votes"
1421,"5,818 votes"
1422,352 votes
1423,"3,194 votes"
1424,"2,689 votes"
1425,"13,651 votes"
1426,"7,233 votes"
1427,"12,031 votes"
1428,258 votes
1429,"10,435 votes"
1430,"2,080 votes"
1431,355 votes
1432,958 votes
1433,"20,551 votes"
1434,"13,117 votes"
1435,"8,415 votes"
1436,"31,691 votes"
1437,"70,894 votes"
1438,406 votes
1439,"7,565 votes"
1440,"3,117 votes"
1441,"3,958 votes"
1442,95 votes
1443,44 votes
1444,"2,308 votes"
1445,"2,861 votes"
1446,"154,848 votes"
1447,"9,248 votes"
1448,461 votes
1449,197 votes
1450,299 votes
1451,640 votes
1452,216 votes
1453,"60,232 votes"
1454,"73,385 votes"
1455,584 votes
1456,"36,854 votes"
1457,"14,287 votes"
1458,302 votes
1459,"69,363 votes"
1460,747 votes
1461,"2,619 votes"
1462,"1,456 votes"
1463,"146,731 votes"
1464,845 votes
1465,508 votes
1466,595 votes
1467,495 votes
1468,69 votes
1469,"100,825 votes"
1470,297 votes
1471,"1,046 votes"
1472,127 votes
1473,"1,162 votes"
1474,"1,317 votes"
1475,58 votes
1476,854 votes
1477,535 votes
1478,497 votes
1479,183 votes
1480,25 votes
1481,"12,361 votes"
1482,"2,501 votes"
1483,"36,951 votes"
1484,926 votes
1485,508 votes
1486,"1,978 votes"
1487,"51,505 votes"
1488,"13,102 votes"
1489,149 votes
1490,833 votes
1491,"1,925 votes"
1492,335 votes
1493,"21,273 votes"
1494,"4,935 votes"
1495,"4,021 votes"
1496,"1,640 votes"
1497,"2,357 votes"
1498,"5,760 votes"
1499,"32,973 votes"
1500,884 votes
1501,95 votes
1502,"54,404 votes"
1503,"45,116 votes"
1504,63 votes
1505,"58,595 votes"
1506,"58,328 votes"
1507,"142,184 votes"
1508,"42,382 votes"
1509,523 votes
1510,31 votes
1511,"2,592 votes"
1512,696 votes
1513,51 votes
1514,104 votes
1515,"130,131 votes"
1516,671 votes
1517,"1,015 votes"
1518,446 votes
1519,834 votes
1520,"52,382 votes"
1521,209 votes
1522,"19,675 votes"
1523,558 votes
1524,346 votes
1525,"2,974 votes"
1526,"5,132 votes"
1527,"3,621 votes"
1528,"1,085 votes"
1529,"1,940 votes"
1530,65 votes
1531,"8,599 votes"
1532,301 votes
1533,"1,469 votes"
1534,"89,426 votes"
1535,"3,087 votes"
1536,"53,875 votes"
1537,"40,758 votes"
1538,"70,127 votes"
1539,"1,004 votes"
1540,572 votes
1541,"8,336 votes"
1542,"7,256 votes"
1543,"1,539 votes"
1544,"34,195 votes"
1545,"4,175 votes"
1546,735 votes
1547,681 votes
1548,"7,842 votes"
1549,"1,950 votes"
1550,"17,279 votes"
1551,"3,078 votes"
1552,"1,704 votes"
1553,"1,392 votes"
1554,"16,550 votes"
1555,233 votes
1556,"19,429 votes"
1557,"114,306 votes"
1558,"1,601 votes"
1559,"67,908 votes"
1560,"89,887 votes"
1561,508 votes
1562,"80,824 votes"
1563,73 votes
1564,"1,525 votes"
1565,"149,629 votes"
1566,"1,495 votes"
1567,"18,840 votes"
1568,"48,472 votes"
1569,"28,449 votes"
1570,163 votes
1571,"3,638 votes"
1572,"50,190 votes"
1573,"2,772 votes"
1574,78 votes
1575,551 votes
1576,"4,240 votes"
1577,"1,206 votes"
1578,"5,075 votes"
1579,"15,878 votes"
1580,"2,898 votes"
1581,439 votes
1582,"5,847 votes"
1583,92 votes
1584,"3,723 votes"
1585,"1,699 votes"
1586,"6,371 votes"
1587,"7,156 votes"
1588,493 votes
1589,"1,730 votes"
1590,13 votes
1591,213 votes
1592,"3,658 votes"
1593,"30,641 votes"
1594,"54,728 votes"
1595,273 votes
1596,"2,845 votes"
1597,"1,454 votes"
1598,"33,222 votes"
1599,"1,119 votes"
1600,"8,909 votes"
1601,"13,911 votes"
1602,"1,052 votes"
1603,"50,855 votes"
1604,275 votes
1605,937 votes
1606,"2,030 votes"
1607,"58,631 votes"
1608,949 votes
1609,"2,982 votes"
1610,997 votes
1611,"6,224 votes"
1612,"1,702 votes"
1613,"34,187 votes"
1614,"3,685 votes"
1615,638 votes
1616,254 votes
1617,"8,500 votes"
1618,"1,705 votes"
1619,"1,780 votes"
1620,"15,399 votes"
1621,"4,865 votes"
1622,56 votes
1623,"1,132 votes"
1624,132 votes
1625,"54,635 votes"
1626,532 votes
1627,194 votes
1628,"2,318 votes"
1629,835 votes
1630,"12,428 votes"
1631,"14,578 votes"
1632,"1,541 votes"
1633,"6,299 votes"
1634,"42,412 votes"
1635,702 votes
1636,133 votes
1637,"13,023 votes"
1638,"4,339 votes"
1639,"2,745 votes"
1640,"8,585 votes"
1641,"1,082 votes"
1642,"2,233 votes"
1643,"79,771 votes"
1644,101 votes
1645,"9,977 votes"
1646,"1,701 votes"
1647,"17,165 votes"
1648,748 votes
1649,69 votes
1650,"31,702 votes"
1651,"118,437 votes"
1652,323 votes
1653,"8,142 votes"
1654,"261,147 votes"
1655,929 votes
1656,804 votes
1657,983 votes
1658,"32,040 votes"
1659,"22,388 votes"
1660,"1,888 votes"
1661,"91,489 votes"
1662,"1,254 votes"
1663,"5,948 votes"
1664,"4,000 votes"
1665,370 votes
1666,227 votes
1667,"19,793 votes"
1668,"29,905 votes"
1669,"11,305 votes"
1670,26 votes
1671,152 votes
1672,"8,605 votes"
1673,149 votes
1674,"120,538 votes"
1675,"3,273 votes"
1676,"4,960 votes"
1677,"5,889 votes"
1678,427 votes
1679,351 votes
1680,"15,107 votes"
1681,"6,259 votes"
1682,"13,193 votes"
1683,"1,657 votes"
1684,"1,104 votes"
1685,"92,788 votes"
1686,279 votes
1687,"3,483 votes"
1688,857 votes
1689,"2,538 votes"
1690,"10,099 votes"
1691,"3,468 votes"
1692,"6,720 votes"
1693,
1694,"13,449 votes"
1695,"89,208 votes"
1696,"3,175 votes"
1697,980 votes
1698,"2,836 votes"
1699,"4,429 votes"
1700,448 votes
1701,462 votes
1702,"3,400 votes"
1703,"1,378 votes"
1704,"13,622 votes"
1705,"122,365 votes"
1706,"27,090 votes"
1707,"29,070 votes"
1708,"2,307 votes"
1709,"31,256 votes"
1710,"1,459 votes"
1711,"2,203 votes"
1712,"2,696 votes"
1713,645 votes
1714,"3,458 votes"
1715,648 votes
1716,"23,796 votes"
1717,"10,068 votes"
1718,"4,591 votes"
1719,386 votes
1720,174 votes
1721,"7,322 votes"
1722,"1,628 votes"
1723,900 votes
1724,78 votes
1725,50 votes
1726,"4,289 votes"
1727,"17,465 votes"
1728,"1,040 votes"
1729,"1,943 votes"
1730,"6,187 votes"
1731,"7,636 votes"
1732,233 votes
1733,"12,432 votes"
1734,202 votes
1735,"48,426 votes"
1736,"33,356 votes"
1737,"45,788 votes"
1738,"81,785 votes"
1739,"130,328 votes"
1740,"78,241 votes"
1741,"49,196 votes"
1742,234 votes
1743,"48,841 votes"
1744,176 votes
1745,"4,283 votes"
1746,605 votes
1747,"1,735 votes"
1748,47 votes
1749,"11,188 votes"
1750,497 votes
1751,"7,788 votes"
1752,"21,249 votes"
1753,"11,621 votes"
1754,"126,995 votes"
1755,"14,475 votes"
1756,286 votes
1757,388 votes
1758,"38,323 votes"
1759,"1,386 votes"
1760,"1,207 votes"
1761,"14,105 votes"
1762,"2,786 votes"
1763,"117,814 votes"
1764,735 votes
1765,"17,331 votes"
1766,52 votes
1767,409 votes
1768,"2,942 votes"
1769,"22,218 votes"
1770,381 votes
1771,526 votes
1772,"17,559 votes"
1773,"7,077 votes"
1774,"1,017 votes"
1775,"2,185 votes"
1776,"60,020 votes"
1777,996 votes
1778,"2,969 votes"
1779,"28,608 votes"
1780,264 votes
1781,"2,708 votes"
1782,"27,192 votes"
1783,"1,815 votes"
1784,84 votes
1785,"5,444 votes"
1786,142 votes
1787,"1,972 votes"
1788,"2,614 votes"
1789,"3,748 votes"
1790,"16,593 votes"
1791,67 votes
1792,"1,895 votes"
1793,"16,011 votes"
1794,"4,708 votes"
1795,320 votes
1796,"6,375 votes"
1797,"2,664 votes"
1798,"10,301 votes"
1799,"2,191 votes"
1800,143 votes
1801,"1,303 votes"
1802,"7,773 votes"
1803,"29,158 votes"
1804,"3,675 votes"
1805,"8,873 votes"
1806,"4,695 votes"
1807,"2,392 votes"
1808,"4,349 votes"
1809,"1,760 votes"
1810,"3,271 votes"
1811,"8,218 votes"
1812,"1,329 votes"
1813,"36,628 votes"
1814,569 votes
1815,"1,252 votes"
1816,168 votes
1817,"6,338 votes"
1818,"6,138 votes"
1819,"43,947 votes"
1820,"4,382 votes"
1821,387 votes
1822,"18,701 votes"
1823,"1,672 votes"
1824,75 votes
1825,"185,665 votes"
1826,"6,504 votes"
1827,"1,355 votes"
1828,127 votes
1829,"1,795 votes"
1830,"41,982 votes"
1831,65 votes
1832,"21,924 votes"
1833,550 votes
1834,"5,167 votes"
1835,"1,690 votes"
1836,118 votes
1837,"8,238 votes"
1838,781 votes
1839,568 votes
1840,"19,491 votes"
1841,"4,372 votes"
1842,"2,543 votes"
1843,44 votes
1844,"1,830 votes"
1845,489 votes
1846,"1,040 votes"
1847,"94,838 votes"
1848,500 votes
1849,"3,216 votes"
1850,119 votes
1851,"1,927 votes"
1852,"3,655 votes"
1853,"1,274 votes"
1854,"11,416 votes"
1855,526 votes
1856,"1,173 votes"
1857,"1,228 votes"
1858,99 votes
1859,"3,360 votes"
1860,"3,338 votes"
1861,"4,503 votes"
1862,"5,812 votes"
1863,632 votes
1864,"6,133 votes"
1865,"4,124 votes"
1866,"6,383 votes"
1867,171 votes
1868,"1,101 votes"
1869,"8,055 votes"
1870,111 votes
1871,66 votes
1872,"146,235 votes"
1873,146 votes
1874,"5,424 votes"
1875,"1,803 votes"
1876,"25,015 votes"
1877,"5,510 votes"
1878,609 votes
1879,"1,339 votes"
1880,"7,910 votes"
1881,"3,236 votes"
1882,"21,749 votes"
1883,501 votes
1884,"6,108 votes"
1885,"5,676 votes"
1886,"205,289 votes"
1887,"1,757 votes"
1888,"9,180 votes"
1889,"5,419 votes"
1890,422 votes
1891,"1,898 votes"
1892,"1,490 votes"
1893,"5,057 votes"
1894,"25,162 votes"
1895,"1,061 votes"
1896,"2,804 votes"
1897,"2,062 votes"
1898,"2,291 votes"
1899,993 votes
1900,"1,126 votes"
1901,65 votes
1902,496 votes
1903,"14,416 votes"
1904,"4,748 votes"
1905,"5,524 votes"
1906,161 votes
1907,172 votes
1908,639 votes
1909,136 votes
1910,"25,870 votes"
1911,"112,668 votes"
1912,367 votes
1913,"1,156 votes"
1914,949 votes
1915,"4,507 votes"
1916,302 votes
1917,"5,250 votes"
1918,691 votes
1919,"3,240 votes"
1920,"21,026 votes"
1921,150 votes
1922,"1,935 votes"
1923,"5,436 votes"
1924,70 votes
1925,434 votes
1926,"6,205 votes"
1927,249 votes
1928,"42,876 votes"
1929,723 votes
1930,"11,391 votes"
1931,868 votes
1932,"39,358 votes"
1933,"1,289 votes"
1934,"2,619 votes"
1935,"15,584 votes"
1936,"39,966 votes"
1937,469 votes
1938,"2,187 votes"
1939,937 votes
1940,979 votes
1941,"18,888 votes"
1942,139 votes
1943,"42,917 votes"
1944,"23,127 votes"
1945,"98,375 votes"
1946,32 votes
1947,852 votes
1948,"1,191 votes"
1949,"9,179 votes"
1950,"7,175 votes"
1951,"45,022 votes"
1952,"21,552 votes"
1953,85 votes
1954,"16,273 votes"
1955,"1,582 votes"
1956,757 votes
1957,"66,279 votes"
1958,"2,989 votes"
1959,383 votes
1960,779 votes
1961,"83,638 votes"
1962,"31,991 votes"
1963,"1,107 votes"
1964,"34,666 votes"
1965,"97,213 votes"
1966,"2,542 votes"
1967,"1,621 votes"
1968,"3,069 votes"
1969,"25,429 votes"
1970,"3,937 votes"
1971,"1,089 votes"
1972,771 votes
1973,"1,640 votes"
1974,"6,112 votes"
1975,"7,397 votes"
1976,54 votes
1977,83 votes
1978,"1,041 votes"
1979,"4,085 votes"
1980,"3,473 votes"
1981,196 votes
1982,"87,275 votes"
1983,885 votes
1984,"167,947 votes"
1985,"1,739 votes"
1986,"3,985 votes"
1987,"3,770 votes"
1988,251 votes
1989,"121,290 votes"
1990,"6,625 votes"
1991,"6,545 votes"
1992,"14,736 votes"
1993,"1,297 votes"
1994,160 votes
1995,523 votes
1996,"2,384 votes"
1997,"102,206 votes"
1998,295 votes
1999,"5,776 votes"
2000,"1,877 votes"
2001,"8,000 votes"
2002,"2,246 votes"
2003,"2,938 votes"
2004,"115,202 votes"
2005,"121,312 votes"
2006,569 votes
2007,"71,449 votes"
2008,"41,647 votes"
2009,"42,197 votes"
2010,"111,955 votes"
2011,"15,765 votes"
2012,"2,751 votes"
2013,"1,748 votes"
2014,"1,286 votes"
2015,"3,474 votes"
2016,"131,783 votes"
2017,"57,996 votes"
2018,"20,296 votes"
2019,"34,016 votes"
2020,"17,460 votes"
2021,"11,422 votes"
2022,"7,767 votes"
2023,"38,528 votes"
2024,"56,924 votes"
2025,"51,313 votes"
2026,"38,844 votes"
2027,"1,648 votes"
2028,"85,730 votes"
2029,"19,610 votes"
2030,"21,514 votes"
2031,"15,034 votes"
2032,"19,437 votes"
2033,"37,951 votes"
2034,"1,111 votes"
2035,"386,500 votes"
2036,"12,310 votes"
2037,"3,778 votes"
2038,"90,830 votes"
2039,"49,165 votes"
2040,"11,731 votes"
2041,"11,568 votes"
2042,"38,983 votes"
2043,"33,184 votes"
2044,"34,030 votes"
2045,"20,662 votes"
2046,"3,079 votes"
2047,"1,931 votes"
2048,"82,835 votes"
2049,"7,052 votes"
2050,"13,568 votes"
2051,"24,961 votes"
2052,"15,046 votes"
2053,"1,535 votes"
2054,"89,041 votes"
2055,"23,804 votes"
2056,"22,926 votes"
2057,"61,278 votes"
2058,"10,046 votes"
2059,"23,366 votes"
2060,"21,450 votes"
2061,"25,918 votes"
2062,"8,509 votes"
2063,"48,088 votes"
2064,"35,137 votes"
2065,"34,902 votes"
2066,"6,972 votes"
2067,"53,501 votes"
2068,"17,209 votes"
2069,"18,590 votes"
2070,"15,959 votes"
2071,"4,041 votes"
2072,"20,220 votes"
2073,"104,024 votes"
2074,"5,554 votes"
2075,"6,661 votes"
2076,"27,297 votes"
2077,"14,725 votes"
2078,"17,370 votes"
2079,"2,071 votes"
2080,"49,977 votes"
2081,26 votes
2082,"34,093 votes"
2083,"35,787 votes"
2084,"183,086 votes"
2085,"24,446 votes"
2086,"44,384 votes"
2087,"8,576 votes"
2088,"80,315 votes"
2089,"11,370 votes"
2090,"20,234 votes"
2091,"5,831 votes"
2092,"25,515 votes"
2093,"45,740 votes"
2094,"32,615 votes"
2095,"5,175 votes"
2096,718 votes
2097,"43,618 votes"
2098,"7,706 votes"
2099,"7,606 votes"
2100,"24,275 votes"
2101,"25,600 votes"
2102,"4,281 votes"
2103,"58,382 votes"
2104,"23,782 votes"
2105,"4,287 votes"
2106,"3,985 votes"
2107,"3,987 votes"
2108,779 votes
2109,"30,110 votes"
2110,"20,141 votes"
2111,"8,544 votes"
2112,"9,765 votes"
2113,"30,184 votes"
2114,"11,487 votes"
2115,"1,374 votes"
2116,"87,846 votes"
2117,"5,636 votes"
2118,"67,507 votes"
2119,677 votes
2120,"2,489 votes"
2121,"83,827 votes"
2122,"16,830 votes"
2123,173 votes
2124,"10,710 votes"
2125,"78,173 votes"
2126,"55,380 votes"
2127,"46,073 votes"
2128,"2,755 votes"
2129,"7,142 votes"
2130,"13,017 votes"
2131,"28,271 votes"
2132,"54,309 votes"
2133,"6,990 votes"
2134,"7,406 votes"
2135,"31,001 votes"
2136,"21,921 votes"
2137,"71,709 votes"
2138,"3,799 votes"
2139,"7,942 votes"
2140,"9,595 votes"
2141,"5,409 votes"
2142,"12,235 votes"
2143,"83,264 votes"
2144,"28,361 votes"
2145,"27,709 votes"
2146,"19,340 votes"
2147,"13,215 votes"
2148,"28,731 votes"
2149,"6,074 votes"
2150,"10,942 votes"
2151,"17,465 votes"
2152,"6,118 votes"
2153,"54,628 votes"
2154,"15,258 votes"
2155,"1,442 votes"
2156,"49,624 votes"
2157,"5,284 votes"
2158,"89,347 votes"
2159,"10,013 votes"
2160,"38,602 votes"
2161,"3,281 votes"
2162,"99,228 votes"
2163,"6,171 votes"
2164,"21,695 votes"
2165,"179,912 votes"
2166,"2,744 votes"
2167,"2,324 votes"
2168,"2,148 votes"
2169,"27,118 votes"
2170,"33,350 votes"
2171,"6,565 votes"
2172,"6,565 votes"
2173,857 votes
2174,"4,899 votes"
2175,30 votes
2176,"11,682 votes"
2177,"4,584 votes"
2178,"14,772 votes"
2179,"62,042 votes"
2180,"1,272 votes"
2181,"2,233 votes"
2182,"9,398 votes"
2183,"20,501 votes"
2184,"3,237 votes"
2185,"20,853 votes"
2186,"47,032 votes"
2187,"3,597 votes"
2188,"11,366 votes"
2189,"21,769 votes"
2190,"2,263 votes"
2191,"28,562 votes"
2192,"35,525 votes"
2193,"21,358 votes"
2194,"12,492 votes"
2195,"6,226 votes"
2196,"6,286 votes"
2197,"1,469 votes"
2198,"12,751 votes"
2199,"22,176 votes"
2200,"14,244 votes"
2201,"17,068 votes"
2202,"29,797 votes"
2203,"1,844 votes"
2204,"8,011 votes"
2205,"6,053 votes"
2206,"23,877 votes"
2207,"7,524 votes"
2208,"7,561 votes"
2209,"12,108 votes"
2210,"27,291 votes"
2211,"23,103 votes"
2212,"21,575 votes"
2213,"18,170 votes"
2214,"9,843 votes"
2215,"7,149 votes"
2216,"13,807 votes"
2217,"12,106 votes"
2218,"2,659 votes"
2219,"5,642 votes"
2220,"8,008 votes"
2221,"12,555 votes"
2222,"111,736 votes"
2223,"30,263 votes"
2224,"5,019 votes"
2225,"58,864 votes"
2226,"20,709 votes"
2227,"10,747 votes"
2228,"3,196 votes"
2229,"14,320 votes"
2230,"23,150 votes"
2231,"11,768 votes"
2232,"21,271 votes"
2233,"34,110 votes"
2234,"4,001 votes"
2235,"5,594 votes"
2236,"4,795 votes"
2237,"2,271 votes"
2238,"4,717 votes"
2239,"5,008 votes"
2240,"2,743 votes"
2241,"1,605 votes"
2242,"4,008 votes"
2243,"188,738 votes"
2244,"2,350 votes"
2245,"14,155 votes"
2246,"76,047 votes"
2247,"12,852 votes"
2248,"23,578 votes"
2249,"54,271 votes"
2250,"1,733 votes"
2251,"3,091 votes"
2252,"9,022 votes"
2253,"3,314 votes"
2254,"21,281 votes"
2255,"11,552 votes"
2256,"1,524 votes"
2257,"1,198 votes"
2258,"55,946 votes"
2259,"71,269 votes"
2260,"4,424 votes"
2261,"12,931 votes"
2262,"3,553 votes"
2263,"7,202 votes"
2264,"7,978 votes"
2265,"9,471 votes"
2266,"1,808 votes"
2267,"17,951 votes"
2268,"4,510 votes"
2269,"1,418 votes"
2270,"6,202 votes"
2271,"3,506 votes"
2272,"7,037 votes"
2273,"25,669 votes"
2274,"2,787 votes"
2275,"1,354 votes"
2276,"40,399 votes"
2277,"68,173 votes"
2278,"1,668 votes"
2279,"7,839 votes"
2280,"4,232 votes"
2281,"12,537 votes"
2282,"4,177 votes"
2283,"3,121 votes"
2284,"5,159 votes"
2285,"22,847 votes"
2286,"1,719 votes"
2287,"3,724 votes"
2288,"5,090 votes"
2289,"2,584 votes"
2290,"10,251 votes"
2291,"65,158 votes"
2292,"10,853 votes"
2293,"3,433 votes"
2294,"17,239 votes"
2295,"1,735 votes"
2296,"5,997 votes"
2297,"2,532 votes"
2298,"1,162 votes"
2299,"4,049 votes"
2300,"4,563 votes"
2301,721 votes
2302,"2,171 votes"
2303,"7,669 votes"
2304,"3,947 votes"
2305,"5,729 votes"
2306,"19,429 votes"
2307,"10,678 votes"
2308,"1,351 votes"
2309,"17,371 votes"
2310,"3,555 votes"
2311,"4,740 votes"
2312,"11,971 votes"
2313,"10,700 votes"
2314,"5,161 votes"
2315,909 votes
2316,"14,744 votes"
2317,"7,739 votes"
2318,"5,341 votes"
2319,"32,253 votes"
2320,"17,794 votes"
2321,"2,191 votes"
2322,"5,153 votes"
2323,"2,561 votes"
2324,"1,223 votes"
2325,"6,317 votes"
2326,"55,604 votes"
2327,"7,233 votes"
2328,"3,293 votes"
2329,"54,520 votes"
2330,"52,474 votes"
2331,"2,325 votes"
2332,"3,188 votes"
2333,"3,005 votes"
2334,"89,189 votes"
2335,"7,399 votes"
2336,"51,759 votes"
2337,591 votes
2338,"24,507 votes"
2339,448 votes
2340,"12,217 votes"
2341,"4,456 votes"
2342,"2,115 votes"
2343,"22,074 votes"
2344,"1,708 votes"
2345,"34,750 votes"
2346,"3,088 votes"
2347,"2,921 votes"
2348,"7,425 votes"
2349,"22,757 votes"
2350,"11,119 votes"
2351,"2,608 votes"
2352,"1,965 votes"
2353,"1,082 votes"
2354,"3,222 votes"
2355,"16,052 votes"
2356,"2,181 votes"
2357,"5,195 votes"
2358,342 votes
2359,"1,886 votes"
2360,"11,152 votes"
2361,"27,252 votes"
2362,950 votes
2363,"80,831 votes"
2364,581 votes
2365,651 votes
2366,"24,054 votes"
2367,"4,751 votes"
2368,"15,449 votes"
2369,"1,827 votes"
2370,"48,976 votes"
2371,"2,658 votes"
2372,"4,563 votes"
2373,"1,646 votes"
2374,"1,836 votes"
2375,"3,928 votes"
2376,"1,630 votes"
2377,"5,230 votes"
2378,"1,655 votes"
2379,"11,263 votes"
2380,"1,813 votes"
2381,954 votes
2382,"5,546 votes"
2383,"1,351 votes"
2384,"48,680 votes"
2385,"6,227 votes"
2386,"2,691 votes"
2387,"14,919 votes"
2388,"4,879 votes"
2389,"1,541 votes"
2390,"12,478 votes"
2391,"9,014 votes"
2392,"6,653 votes"
2393,"42,213 votes"
2394,185 votes
2395,"1,638 votes"
2396,"5,113 votes"
2397,292 votes
2398,"15,759 votes"
2399,"6,956 votes"
2400,"15,108 votes"
2401,"2,363 votes"
2402,"14,045 votes"
2403,759 votes
2404,"2,108 votes"
2405,"9,168 votes"
2406,"3,985 votes"
2407,"15,436 votes"
2408,"4,133 votes"
2409,"5,185 votes"
2410,"7,418 votes"
2411,"10,188 votes"
2412,"2,116 votes"
2413,"2,494 votes"
2414,"3,699 votes"
2415,"14,306 votes"
2416,167 votes
2417,417 votes
2418,"5,240 votes"
2419,"12,837 votes"
2420,"4,479 votes"
2421,"1,972 votes"
2422,"1,516 votes"
2423,"5,032 votes"
2424,"5,698 votes"
2425,"3,636 votes"
2426,"57,592 votes"
2427,"2,606 votes"
2428,"3,991 votes"
2429,"8,238 votes"
2430,"2,373 votes"
2431,"8,397 votes"
2432,"21,918 votes"
2433,"2,574 votes"
2434,"2,231 votes"
2435,"4,312 votes"
2436,"7,050 votes"
2437,"31,091 votes"
2438,998 votes
2439,"7,620 votes"
2440,"44,750 votes"
2441,528 votes
2442,"7,848 votes"
2443,"5,987 votes"
2444,"1,421 votes"
2445,"9,649 votes"
2446,"3,279 votes"
2447,"2,341 votes"
2448,"2,480 votes"
2449,327 votes
2450,300 votes
2451,"1,822 votes"
2452,"10,476 votes"
2453,"14,305 votes"
2454,"1,763 votes"
2455,"2,207 votes"
2456,264 votes
2457,"2,130 votes"
2458,"4,215 votes"
2459,"3,869 votes"
2460,"1,717 votes"
2461,"1,254 votes"
2462,"36,931 votes"
2463,"10,645 votes"
2464,"23,401 votes"
2465,"6,778 votes"
2466,"5,032 votes"
2467,"35,961 votes"
2468,62 votes
2469,"5,972 votes"
2470,382 votes
2471,"1,207 votes"
2472,"1,829 votes"
2473,"2,701 votes"
2474,"30,070 votes"
2475,"4,969 votes"
2476,"1,382 votes"
2477,"6,739 votes"
2478,"6,940 votes"
2479,"2,607 votes"
2480,"2,758 votes"
2481,"5,407 votes"
2482,"118,190 votes"
2483,"7,424 votes"
2484,"8,069 votes"
2485,"2,355 votes"
2486,15 votes
2487,"2,955 votes"
2488,"53,302 votes"
2489,"52,096 votes"
2490,"30,449 votes"
2491,"2,630 votes"
2492,"25,615 votes"
2493,"12,920 votes"
2494,"4,258 votes"
2495,"3,954 votes"
2496,"2,463 votes"
2497,"17,598 votes"
2498,"3,574 votes"
2499,"14,251 votes"
2500,"1,552 votes"
2501,"10,231 votes"
2502,962 votes
2503,402 votes
2504,"7,445 votes"
2505,603 votes
2506,"2,345 votes"
2507,"1,064 votes"
2508,"11,256 votes"
2509,255 votes
2510,"10,699 votes"
2511,"3,061 votes"
2512,"4,517 votes"
2513,696 votes
2514,"4,290 votes"
2515,925 votes
2516,"1,792 votes"
2517,701 votes
2518,"11,261 votes"
2519,"1,161 votes"
2520,"21,893 votes"
2521,493 votes
2522,"5,949 votes"
2523,"1,409 votes"
2524,20 votes
2525,679 votes
2526,23 votes
2527,"2,406 votes"
2528,207 votes
2529,"7,913 votes"
2530,330 votes
2531,591 votes
2532,"17,459 votes"
2533,"1,215 votes"
2534,"1,514 votes"
2535,"1,007 votes"
2536,220 votes
2537,"26,273 votes"
2538,"30,942 votes"
2539,"6,530 votes"
2540,"4,265 votes"
2541,"13,408 votes"
2542,829 votes
2543,"7,807 votes"
2544,"18,583 votes"
2545,"3,256 votes"
2546,"3,133 votes"
2547,"7,497 votes"
2548,323 votes
2549,766 votes
2550,"2,396 votes"
2551,458 votes
2552,58 votes
2553,311 votes
2554,196 votes
2555,85 votes
2556,"19,163 votes"
2557,219 votes
2558,"1,105 votes"
2559,121 votes
2560,"18,749 votes"
2561,541 votes
2562,"3,853 votes"
2563,234 votes
2564,"2,001 votes"
2565,"2,518 votes"
2566,"2,616 votes"
2567,"1,399 votes"
2568,"13,454 votes"
2569,355 votes
2570,"4,346 votes"
2571,"4,419 votes"
2572,"2,308 votes"
2573,"5,654 votes"
2574,"2,422 votes"
2575,555 votes
2576,"1,313 votes"
2577,907 votes
2578,"4,652 votes"
2579,"2,174 votes"
2580,724 votes
2581,"20,759 votes"
2582,"5,982 votes"
2583,"4,451 votes"
2584,"3,589 votes"
2585,202 votes
2586,"1,099 votes"
2587,276 votes
2588,"3,636 votes"
2589,361 votes
2590,827 votes
2591,"3,918 votes"
2592,952 votes
2593,39 votes
2594,"1,026 votes"
2595,"3,253 votes"
2596,582 votes
2597,772 votes
2598,"20,058 votes"
2599,"7,710 votes"
2600,"2,636 votes"
2601,"1,479 votes"
2602,"3,513 votes"
2603,"1,250 votes"
2604,122 votes
2605,"5,728 votes"
2606,"5,098 votes"
2607,"11,580 votes"
2608,957 votes
2609,"4,519 votes"
2610,"23,020 votes"
2611,"2,192 votes"
2612,"33,700 votes"
2613,"2,257 votes"
2614,"5,744 votes"
2615,200 votes
2616,771 votes
2617,"3,563 votes"
2618,25 votes
2619,915 votes
2620,419 votes
2621,220 votes
2622,523 votes
2623,"2,977 votes"
2624,207 votes
2625,429 votes
2626,94 votes
2627,"3,327 votes"
2628,"6,525 votes"
2629,256 votes
2630,"3,040 votes"
2631,"1,586 votes"
2632,"3,073 votes"
2633,722 votes
2634,332 votes
2635,173 votes
2636,182 votes
2637,"7,088 votes"
2638,"2,528 votes"
2639,"4,771 votes"
2640,"2,432 votes"
2641,22 votes
2642,"16,260 votes"
2643,412 votes
2644,92 votes
2645,372 votes
2646,"42,730 votes"
2647,"7,491 votes"
2648,"23,847 votes"
2649,436 votes
2650,"2,194 votes"
2651,44 votes
2652,"5,981 votes"
2653,95 votes
2654,218 votes
2655,435 votes
