Title,IMDB_Rating,Reelgood_Rating,Genres,Year,Tags,Country,Source,Rated,Duration,Description,Director,Employees
HiGH&LOW The Movie,6.4,,"['Drama', 'Action & Adventure']",2016,"['Gang', 'War']",Japan,Netflix,,PT2H9M,"S.W.O.R.D. Chiku is a devastated and dangerous town with 5 gangs - Sannoh Rengokai, White Rascals, Oya Kohkoh, Rude Boys and Daruma Ikka - fighting fiercely. The name S.W.O.R.D. comprises of the first letter in each of these gangs. Before these 5 gangs, the legendary Mugen gang dominated the town. Mugen and the Amamiya Brothers (who did not submit to Mugen) clashed and Mugen disbanded, but ...HiGH&LOW The Movie featuring Akira and Takanori Iwata is streaming with subscription on Netflix. It's an action & adventure and drama movie with an average IMDb audience rating of 6.4 (580 votes).",Shigeaki Kubo,"['Akira', 'Takanori Iwata', 'Kanta Sato', 'Taiki Sato', 'Kenjiro Yamashita', 'Keita Machida', 'Nobuyuki Suzuki', 'You', '早乙女太一', 'Tatsuya Nakamura', 'Kazuyuki Matsuzawa', 'Tokuma Nishioka', 'Seungri', 'Fujiko Kojima', 'Tasuku Nagase', 'Sho Aoyagi', 'Yuki Yamada', 'Reo Sano', 'Masataka Kubota', 'Kento Hayashi', 'Arata Iura', 'Kei Watanabe', 'Norihisa Hiranuma']"
I Am Mother,6.7,,"['Thriller', 'Drama']",2019,"['Technology', 'Science', 'Robot']",Australia,Netflix,13+ (PG-13),PT1H54M,"A teenage girl is raised underground by a robot ""Mother"", designed to repopulate the earth following an extinction event. But their unique bond is threatened when an inexplicable stranger arrives with alarming news.I Am Mother featuring Clara Rugaard and Hilary Swank is streaming with subscription on Netflix. It's a drama and thriller movie with a better than average IMDb audience rating of 6.7 (89,011 votes).",Grant Sputore,"['Clara Rugaard', 'Hilary Swank', 'Rose Byrne', 'Luke Hawker', 'Tahlia Sturzaker', 'Maddie Lenton', 'Hazel Sandery', 'Summer Lenton', 'Jacob Nolan', 'Tracy Britton', 'Kelvin Munro', 'Timothy White', 'Bryce Menzies', 'Grant Sputore', 'Jean-Luc De Fanti', 'John Wade', 'Paris Kasidokostas Latsis', 'Philip Wade', 'Terry Dougas', 'Michael Lloyd Green', 'Antony Partos', 'Dan Luscombe']"
Big Eyes,7,,"['Biography', 'Drama']",2014,"['Teen', 'Based On True Story', 'Paris']",Canada,Netflix,13+ (PG-13),PT1H46M,"The story of the awakening of painter, Margaret Keane, her phenomenal success in the 1950s, and the subsequent legal difficulties she had with her husband, who claimed credit for her works in the 1960s.Big Eyes featuring Amy Adams and Christoph Waltz is streaming with subscription on Netflix, available for rent or purchase on iTunes, available for rent on Google Play, and 3 others. It's a biography and drama movie with a better than average IMDb audience rating of 7.0 (91,954 votes).",Tim Burton,"['Amy Adams', 'Christoph Waltz', 'Danny Huston', 'Jon Polito', 'Krysten Ritter', 'Jason Schwartzman', 'Terence Stamp', 'Madeleine Arthur', 'Delaney Raye', 'James Saito', 'Farryn VanHumbeck', 'Guido Furlani', 'Elisabetta Fantone', 'Emily Maddison', 'Brent Chapman', 'Gabe Khouth', 'Dylan Kingwell', 'Peter Kelamis', 'Deni DeLory', 'Desiree Zurowski', 'Vincent Gale', 'Larry Karaszewski', 'Lynette Howell Taylor', 'Scott Alexander', 'Tim Burton', 'Bob Weinstein', 'Derek Frey', 'Harvey Weinstein', 'Jamie Patricof', 'Katterli Frauenfelder', 'Larry Karaszewski', 'Scott Alexander', 'Danny Elfman']"
Bulletproof 2,3.5,,"['Drama', 'Comedy']",2020,[],America,Netflix,,PT1H37M,"Special Agent Jack Carter reluctantly assumes the identity of criminal Archie Moses to take down a powerful South African crime family. But when the real Moses is put in danger, he and Carter must work together to foil the scheme for good.Bulletproof 2 featuring Faizon Love and Kirk Fox is streaming with subscription on Netflix, available for rent or purchase on iTunes, available for rent or purchase on Google Play, and 3 others. It's a comedy and drama movie with a low IMDb audience rating of 3.5 (610 votes).",Don Michael Paul,"['Faizon Love', 'Kirk Fox', 'Tony Todd', 'Cassie Clare', 'Jade Hubner', 'Tuks Tad Lungu', 'Noa Milan', 'Jenna Saras', 'Pearl Thusi', 'Jenny Umbhau', 'Rich Wilkes']"
Seven,5.2,,['Thriller'],2019,[],India,Netflix,,PT1H57M,"Two women file police complaints about their missing husbands, but turns out that they are in search of the same person. The case becomes more complicated when one more woman complains about the same person, who is a husband for her, tooSeven featuring Havish and Regina Cassandra is streaming with subscription on Netflix, and available for rent or purchase on Prime Video. It's a thriller movie with a less than average IMDb audience rating of 5.2 (444 votes).",Nizar Shafi,"['Havish', 'Regina Cassandra', 'Rahman', 'Nandita Swetha', 'Anisha Ambrose', 'Pujita Ponnada', 'Aditi Arya', 'Tridha Choudhury', 'Ramesh Varma', 'Ramesh Varma', 'Chaitan Bharadwaj']"
The Strange House,5.4,,"['Action & Adventure', 'Family']",2020,[],Austria,Netflix,18+ (R),PT1H30M,"When a big-city family moves to a remote town, two young brothers and their new friends try to solve the menacing mystery that haunts their home.The Strange House featuring Leon Orlandianyi and Benno Rosskopf is streaming with subscription on Netflix. It's an action & adventure and family movie with a less than average IMDb audience rating of 5.4 (3,756 votes).",Daniel Prochaska,"['Leon Orlandianyi', 'Benno Rosskopf', 'Marii Weichsler', 'Lars Bitterlich', 'Julia Koschitz', 'Michael Pink', 'Inge Maux', 'Gerald Podgornig', 'Thomas Hroch', 'Gudula von Eysmondt', 'Marcel Kawentel', 'Martina Wildner', 'Timo Lombeck']"
Ahaan,7,,"['Drama', 'Comedy']",2021,[],India,Netflix,,PT1H21M,"Jilted by his wife, a man with OCD finds eye-opening common ground and camaraderie with his neighbour, a young man with Down Syndrome.Ahaan featuring Arif Zakaria and Niharika Singh is streaming with subscription on Netflix. It's a comedy and drama movie with a better than average IMDb audience rating of 7.0 (323 votes).",Nikhil Pherwani,"['Arif Zakaria', 'Niharika Singh', 'Abuli Mamaji', 'Abhishek Pherwani', 'Nikhil Pherwani']"
Duniya,6.2,,"['Drama', 'Action & Adventure']",1984,[],India,Prime Video,,PT2H50M,"Mohan Kumar's diligence and honesty lands him in trouble with Balwant Singh Kalra, Jugal Kishore Ahuja, and Mr. Bhandari. Together the trio frame and imprison Mohan and make him watch helplessly as his wife is killed. Years later, Mohan Kumar is released from prison, his only goal in life is to avenge his humiliation and wrongful arrest at the hands of the trio. With the help of Dinesh Verma, he establishes himself again, and starts the process of bringing death and destruction to the trio. The trio are well aware of his presence, and decide to send one of their men, Ravi, to spy on him. Ravi falls in love with Verma's daughter, Roma, and decides to change sides to help Verma and Mohan, but Mohan will not have anything to do with Ravi, and asks him to leave. Ravi then becomes a target by the trio and their men, and has to save himself, and the only way he can redeem himself is by turning the tables over Mohan, who is none other than his own father.DuniyaDuniya featuring Ashok Kumar and Dilip Kumar is streaming with subscription on Netflix, and streaming with subscription on Prime Video. It's an action & adventure and drama movie with an average IMDb audience rating of 6.2 (242 votes).",Ramesh Talwar,"['Ashok Kumar', 'Dilip Kumar', 'Rishi Kapoor', 'Amrita Singh', 'Prem Chopra', 'Amrish Puri', 'Pran', 'Satyendra Kapoor', 'Mac Mohan']"
Mighty Express: A Mighty Christmas,4.7,,"['Animation', 'Family']",2020,[],,Netflix,,PT25M,The Mighty Express welcomes a new train and speeds into a snowstorm to deliver Santa’s presents and save Christmas for all the kids in Tracksville.Mighty Express: A Mighty Christmas is streaming with subscription on Netflix. It's an animation and family movie with a less than average IMDb audience rating of 4.7 (47 votes).,,[]
The Wrong Missy,5.7,,"['Romance', 'Comedy']",2020,"['Animal', 'Dating']",America,Netflix,18+ (R),PT1H29M,"A guy meets the woman of his dreams and invites her to his company's corporate retreat, but realizes he sent the invite to the wrong person.The Wrong Missy featuring David Spade and Lauren Lapkus is streaming with subscription on Netflix. It's a comedy and romance movie with an average IMDb audience rating of 5.7 (38,752 votes) and was not well received by critics.",Tyler Spindel,"['David Spade', 'Lauren Lapkus', 'Candace Smith', 'Sarah Chalke', 'Molly Sims', 'Geoff Pierson', 'Nick Swardson', 'Jackie Sandler', 'Chris Witaske', 'Vanilla Ice', 'John Farley', 'Lori Pelenise Tuisano', 'Rob Schneider', ""Leati Joseph Anoa'i"", 'Bobby Lee', 'Jorge Garcia', 'Jonathan Loughran', 'Chris Titone', 'Sadie Sandler', 'Allen Covert', 'Jared Sandler', 'Adam Sandler', 'Allen Covert', 'Barry Bernardi', 'Judit Maull', 'Kevin Grady', 'Barry Bernardi', 'Edward H. Hamm Jr.', 'Kevin Barnett', 'Raymond Mansfield', 'Sean McKittrick', 'Chris Pappas', 'Kevin Barnett', 'Mateo Messina']"
So My Grandma's a Lesbian!,4.3,,"['Romance', 'Comedy']",2020,[],Portugal,Netflix,18+ (R),PT1H37M,"Eva, a young and promising Spanish lawyer based in Edinburgh, sees her wedding plans with the heir to an important and ultra-conservative Scottish family in jeopardy when she learns that her grandmother, Sofía, has decided to marry…So My Grandma's a Lesbian! featuring Rosa María Sardà and Verónica Forqué is streaming with subscription on Netflix. It's a comedy and romance movie with a low IMDb audience rating of 4.3 (1,165 votes).",Ángeles Reiné,"['Rosa María Sardà', 'Verónica Forqué', 'Ingrid García-Jonsson', 'David Verdaguer', 'Candela Peña', 'Mónica López', ""Alex O'Dogherty"", 'Pol Monen', 'Leander Vyvey', 'Liz Lobato', 'María Caballero', 'Marta Martín', 'Andrés Santana', 'Andrés Santana', 'Yolanda Mulero', 'Ángeles Reiné', 'Lucas Vidal']"
Léa & I,6.5,,['Documentary'],2019,"['Doctor', 'Friendship']",America,Netflix,,PT1H24M,"Best friends travel though Latin America meeting shamans, experimenting with plant medicines, and wondering about what makes a life well-lived when one of them might have half the time to live it.Léa & I featuring Léa Moret and Camille Shooshani is streaming with subscription on Netflix. It's a documentary movie with an average IMDb audience rating of 6.5 (215 votes).",Camille Shooshani,"['Léa Moret', 'Camille Shooshani', 'Léa Moret', 'Delphine Sauvageon', 'Camille Shooshani', 'Léa Moret']"
Olympus Has Fallen,6.5,,"['Action & Adventure', 'Thriller']",2013,['Spy'],America,Netflix,18+ (R),PT2H0M,"When the White House (Secret Service Code: ""Olympus"") is captured by a terrorist mastermind and the President is kidnapped, disgraced former Presidential guard Mike Banning finds himself trapped within the building. As the national security team scrambles to respond, they are forced to rely on Banning's inside knowledge to help retake the White House, save the President and avert an even bigger disaster.Olympus Has Fallen featuring Gerard Butler and Aaron Eckhart is streaming with subscription on Netflix, available for rent or purchase on iTunes, available for rent or purchase on Google Play, and 4 others. It's an action & adventure and thriller movie with an average IMDb audience rating of 6.5 (272,583 votes).",Antoine Fuqua,"['Gerard Butler', 'Aaron Eckhart', 'Finley Jacobsen', 'Dylan McDermott', 'Rick Yune', 'Morgan Freeman', 'Cole Hauser', 'Radha Mitchell', 'Angela Bassett', 'Melissa Leo', 'Phil Austin', 'James Ingersoll', 'Freddy Bosche', 'Lance Broadway', ""Sean O'Bryan"", 'Keong Sim', 'Kevin Moon', 'Malana Lea', 'Robert Forster', 'Sam Medina', 'Ashley Judd', 'Alan Siegel', 'Antoine Fuqua', 'Danny Lerner', 'Ed Cathell III', 'Gerard Butler', 'Mark Gill', 'Avi Lerner', 'Boaz Davidson', 'Creighton Rothenberger', 'Katrin Benedikt', 'Trevor Morris']"
Radium Girls,6.2,,"['Drama', 'History']",2020,[],America,Netflix,,PT1H42M,"Young women toiling in a factory are exposed to hazardous material which takes a disastrous toll on their health.Radium Girls featuring Joey King and Abby Quinn is streaming with subscription on Netflix, available for rent or purchase on iTunes, available for rent or purchase on Google Play, and 3 others. It's a drama and history movie with an average IMDb audience rating of 6.2 (1,740 votes).",Ginny Mohler,"['Lydia Dean Pilcher', 'Joey King', 'Abby Quinn', 'Cara Seymour', 'Scott Shepherd', 'Susan Heyward', 'Neal Huff', 'Collin Kelly-Sordelet', 'John Bedford Lloyd', 'Olivia Macklin', 'Joe Grifasi', 'Brandon Gill', 'Colby Minifie', 'Greg Hildreth', 'Veanne Cox', 'Tom Galantich', 'Steven Hauck', 'Carol Cadby', 'Gina Piersanti', 'Juliana Sass', 'Neil Akins', 'Gemma Schreier', 'Emily McEvoy', 'Lydia Dean Pilcher', 'Harriet Leve', 'Jane Wagner', 'Jayne Baron Sherman', 'Lily Tomlin', 'Willette Klausner', 'Brittany Shaw', 'Ginny Mohler', 'Lillie Rebecca McDonough']"
The Day of the Lord,4.9,,"['Drama', 'Horror']",2020,[],Mexico,Netflix,,PT1H30M,"In this horror movie, a retired priest haunted by his sins is pulled back into the darkness when a friend begs him to help his possessed daughter.The Day of the Lord featuring Juli Fàbregas and Ximena Romo is streaming with subscription on Netflix. It's a drama and horror movie with a less than average IMDb audience rating of 4.9 (993 votes).",Santiago Alvarado,"['Juli Fàbregas', 'Ximena Romo', 'Héctor Illanes', 'Dolores Heredia', 'Oscar Gordillo', 'Alejandro Sugich', 'Beatriz E. Herrera', 'Julieta Perales', 'Ramón Salas', 'Santiago Alvarado']"
Little Singham: Kaal Ka Badla,6,,"['Action & Adventure', 'Animation']",2020,[],,Netflix,,PT1H9M,"Little Singham's biggest enemy, the demon Kaal, is back and badder than ever -- but this time, will he succeed in destroying the world's best kid cop.Little Singham: Kaal Ka Badla is streaming with subscription on Netflix. It's an action & adventure and animation movie with an average IMDb audience rating of 6.0 (24 votes).",,[]
Rising High,5.9,,"['Drama', 'Comedy']",2020,[],Germany,Netflix,,PT1H34M,"Charting the rise and fall of three corrupt real estate agents who accumulate absurd wealth in no time but fall into a vortex of fraud, greed and drugs.Rising High featuring David Kross and Frederick Lau is streaming with subscription on Netflix. It's a comedy and drama movie with an average IMDb audience rating of 5.9 (4,970 votes).",Cüneyt Kaya,"['David Kross', 'Frederick Lau', 'Janina Uhse', 'Anne Schäfer', 'Sophia Thomalla', 'Peri Baumeister', 'Uwe Preuss', 'Detlev Buck', 'Samuel Finzi', 'Robert Schupp', 'Silvina Buchbauer', 'Dejan Bucin', 'Jerry Kwarteng', 'Heike Hanold-Lynch', 'Theresa Tripp', 'Alexander Yassin', 'Tamer Arslan', 'Monika Oschek', 'José Barros', 'Kaspar Eichel', 'Julia Hartmann', 'Tobias Gottschlich', 'Johannes Kunkel', 'Sebastian Werninger', 'Cüneyt Kaya', 'Christopher Bremus']"
Devadas Brothers,3.3,,"['Drama', 'Comedy']",2021,[],India,Netflix,,PT1H38M,"After their first heartbreaks, four jilted young men plan drastic ways to get back at the women who left them — and are in for a sobering lesson.Devadas Brothers featuring Ajai Prasath and Balasaravanan is streaming with subscription on Netflix. It's a comedy and drama movie with a low IMDb audience rating of 3.3 (51 votes).",K. Janakiraman,"['Ajai Prasath', 'Balasaravanan', 'Deepthi Manne', 'Dhruvva', 'Hari Krishnan', 'Mayilsamy', 'Robo Shankar', 'Sanchita Shetty', 'Samuthirakani']"
The Same Blood,6.1,,"['Drama', 'Mystery']",2019,[],Argentina,Netflix,18+ (R),PT1H53M,Thriller about a family whose ties are put to the test when the patriarch’s wife dies.The Same Blood featuring Oscar Martínez and Dolores Fonzi is streaming with subscription on Netflix. It's a drama and mystery movie with an average IMDb audience rating of 6.1 (818 votes) and was very well received by critics.,Miguel Cohan,"['Oscar Martínez', 'Dolores Fonzi', 'Paulina García', 'Luis Gnecco', 'Diego Velázquez', 'Malena Sánchez', 'Emilio Vodanovich', 'Norman Briski', 'Luz Palazón', 'Federico Liss', 'Ana Cohan', 'Miguel Cohan']"
Wedding Unplanned,6.1,,"['Romance', 'Comedy']",2017,[],France,Netflix,16+,PT1H34M,"When she discovers a wedding planer's business card, Alexia instantly says, ""YES"" to Mathias unaware that it belongs to his mistress. The groom is now trapped between his bride, and his lover who in charge of his unwanted marriage.Wedding Unplanned featuring Reem Kherici and Nicolas Duvauchelle is streaming with subscription on Netflix, and available for rent or purchase on Google Play. It's a comedy and romance movie with an average IMDb audience rating of 6.1 (3,709 votes).",Reem Kherici,"['Reem Kherici', 'Nicolas Duvauchelle', 'Sylvie Testud', 'Julia Piaton', 'Chantal Lauby', 'François-Xavier Demaison', 'Lionnel Astier', 'Ève Saint-Louis', 'Reem Kherici', 'Stéphane Kazandjian']"
Kaali Khuhi,3.5,,"['Drama', 'Horror']",2020,[],India,Netflix,16+,PT1H30M,"When a restless spirit curses a Punjab village that has a history of female infanticide, the town's fate lies in the hands of a 10-year old girl, Shivangi.Kaali Khuhi featuring Shabana Azmi and Riva Arora is streaming with subscription on Netflix. It's a drama and horror movie with a low IMDb audience rating of 3.5 (1,211 votes).",Terrie Samundra,"['Shabana Azmi', 'Riva Arora', 'Satyadeep Misra', 'Sanjeeda Sheikh', 'Leela Samson', 'Ramon Chibb', 'David Walter Lech', 'Rupinder Inderjit', 'Terrie Samundra']"
Gifted Hands: The Ben Carson Story,7.6,,"['Biography', 'Drama']",2009,"['Doctor', 'Based On True Story', 'Twins']",America,Netflix,,PT1H26M,"Gifted Hands: The Ben Carson Story is a movie based on the life story of world-renowned neurosurgeon Ben Carson from 1961 to 1987.Gifted Hands: The Ben Carson Story featuring Cuba Gooding Jr. and Kimberly Elise is streaming with subscription on Netflix, available for rent or purchase on iTunes, available for rent or purchase on Google Play, and 3 others. It's a biography and drama movie with a high IMDb audience rating of 7.6 (10,430 votes).",Thomas Carter,"['Cuba Gooding Jr.', 'Kimberly Elise', 'Aunjanue Ellis', 'Harron Atkins', 'Ele Bardha', 'Loren Bass', 'Geoffrey Beauchamp', 'Tajh Bellow', 'Lesley Bevan', 'Jesse Christian', 'Ron Coden', 'Wayne David Parker', 'Angela Dawe', 'Gregory Dockery', 'Zac Douglass', 'Ithamar Enriquez', 'Jaishon Fisher', 'Michael Fitch', 'Erin Renee Frankfort', 'Danny Goldring', 'Alecia Hamilton', 'David A. Rosemont', 'John Pielmeier']"
Body of Lies,7,,"['Action & Adventure', 'Thriller']",2008,"['Spy', 'Political', 'War']",United Kingdom,Netflix,18+ (R),PT2H8M,"The CIA’s hunt is on for the mastermind of a wave of terrorist attacks. Roger Ferris is the agency’s man on the ground, moving from place to place, scrambling to stay ahead of ever-shifting events. An eye in the sky – a satellite link – watches Ferris. At the other end of that real-time link is the CIA’s Ed Hoffman, strategizing events from thousands of miles away. And as Ferris nears the target, he discovers trust can be just as dangerous as it is necessary for survival.Body of Lies featuring Leonardo DiCaprio and Russell Crowe is streaming with subscription on Netflix, available for rent or purchase on iTunes, available for rent or purchase on Prime Video, and 1 other. It's an action & adventure and drama movie with a better than average IMDb audience rating of 7.0 (226,872 votes).",Ridley Scott,"['Leonardo DiCaprio', 'Russell Crowe', 'Mark Strong', 'Ali Suliman', 'Simon McBurney', 'Michael Gaston', 'Mehdi Nebbou', 'Golshifteh Farahani', 'Oscar Isaac', 'Alon Aboutboul', 'Vince Colosimo', 'Kais Nashif', 'Lubna Azabal', 'Ghali Benlafkih', 'Clara Khoury', 'Giannina Facio', 'Annabelle Wallis', 'Xanthe Elbrick', 'Michael Stuhlbarg', 'Jameel Khoury', 'Aaron lee Wright', 'Donald De Line', 'Ridley Scott', 'Charles J.D. Schlissel', 'Michael Costigan', 'David Ignatius', 'William Monahan', 'Marc Streitenfeld']"
The Match,5,,['Drama'],2020,[],Italy,Showtime,,PT1H36M,"One football match on a dirt pitch near Rome becomes a day of reckoning as a young player, his coach and their team's owner wrestle internal demons.The Match featuring Francesco Pannofino and Alberto Di Stasio is streaming with subscription on Netflix, streaming with subscription on fuboTV, and streaming on Showtime. It's a drama movie with a less than average IMDb audience rating of 5.0 (663 votes).",Francesco Carnesecchi,"['Francesco Pannofino', 'Alberto Di Stasio', 'Gabriele Fiore', 'Giorgio Colangeli', 'Fabrizio Sabatucci', 'Stefano Ambrogi', 'Daniele Mariani', 'Lidia Vitale', 'Veruska Rossi', 'Simone Liberati', 'Giulia Schiavo', 'Giada Fradeani', 'Efisio Sanna', 'Francesca Antonelli', 'Giulia Cragnotti', 'Andrette Lo Conte', 'Francesco Carnesecchi', 'Giovanni Pompetti', 'Mattia Minasi', 'Francesco Carnesecchi']"
