Title,IMDB_Rating,Reelgood_Rating,Genres,Year,Tags,Country,Source,Rated,Duration,Description,Director,Employees
The Claudia Kishi Club,6.9,,['Documentary'],2020,[],America,Netflix,,PT17M,"Asian American creatives pay passionate tribute to the iconic, stereotype-busting ""Baby-Sitters Club"" character in this heartfelt documentary short.The Claudia Kishi Club featuring Naia Cucukov and CB Lee is streaming with subscription on Netflix. It's a documentary movie with a better than average IMDb audience rating of 6.9 (131 votes).",Sue Ding,"['Naia Cucukov', 'CB Lee', 'Yumi Sakagawa', 'Sarah Kuhn', 'Phil Yu', 'Sue Ding', 'Joshua James Lim']"
Bonnie and Clyde,7.7,,"['Crime', 'Drama']",1967,"['Gangster', 'Mature']",America,HBO MAX,18+ (R),PT1H50M,"In the 1930s, bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.Bonnie and Clyde featuring Warren Beatty and Faye Dunaway is streaming with subscription on Netflix, streaming with subscription on HBO MAX, available for rent or purchase on iTunes, and 4 others. It's a crime and drama movie with a high IMDb audience rating of 7.7 (111,430 votes).",Arthur Penn,"['Warren Beatty', 'Faye Dunaway', 'Michael J. Pollard', 'Gene Hackman', 'Estelle Parsons', 'Denver Pyle', 'Dub Taylor', 'Evans Evans', 'Gene Wilder', 'Mabel Cavitt', 'Patrick Cranshaw', 'Owen Bush', 'Clyde Howdy', 'Russ Marker', 'Ann Palmer', 'Ken Mayer', 'Warren Beatty', 'David Newman', 'Robert Benton', 'Robert Towne', 'Charles Strouse']"
Sin City,3.2,,"['Drama', 'Mystery']",2019,[],,Netflix,,,Sin City is streaming with subscription on Netflix. It's a drama and mystery movie with a very low IMDb audience rating of 3.2 (28 votes).,,[]
Hand Rolled Cigarette,6.7,,"['Mystery', 'Thriller']",2021,[],Hong Kong,Netflix,,PT1H41M,"A retired British Chinese soldier, a young South Asian man, an encounter at Chungking Mansions. Coincidentally, they both offended the same gang boss. What has given them a new lease of life and how do they rediscover themselves through each other’s company…Hand Rolled Cigarette featuring Gordon Lam and Bipin Karma is streaming with subscription on Netflix. It's a mystery and thriller movie with a better than average IMDb audience rating of 6.7 (609 votes).",Chan Kin-long,"['Gordon Lam', 'Bipin Karma', 'Tai Bo', 'Ben Yuen', 'Michael Ning', 'Chin Siu-Ho', 'Aaron Chow Chi-Kwan', 'Tony Ho', 'To Yin-Gor', 'Singh Hartihan Bitto', 'Lawrence Lau Kwok-Cheong', 'Chan Kin-long', 'Ryan Ling']"
Nenjamundu Nermaiyundu Odu Raja,6.1,,"['Drama', 'Comedy']",2019,[],India,Netflix,All (G),PT2H8M,"Two ambitious youngsters who make a living through a YouTube channel agree to perform a few tasks for a businessman when the latter offers them huge money.Nenjamundu Nermaiyundu Odu Raja featuring Rio Raj and Vignesh is streaming with subscription on Netflix, and available for rent or purchase on Google Play. It's a comedy and drama movie with an average IMDb audience rating of 6.1 (368 votes).",Karthik Venugopalan,"['Rio Raj', 'Vignesh', 'Shirin Kanchwala', 'Nanjil Sampath', 'Radha Ravi', 'Mayilsamy', 'Raj Mohan', 'Chutti Aravind', 'Bijili Ramesh', 'Sivakarthikeyan', 'Karthik Venugopalan', 'Shabir']"
"ariana grande: excuse me, i love you",6.3,,['Documentary'],2020,['Music'],America,Netflix,,PT1H37M,"Ariana Grande takes the stage in London for her Sweetener World Tour and shares a behind-the-scenes look at her life in rehearsal and on the road.ariana grande: excuse me, i love you featuring Ariana Grande and Scott Nicholson is streaming with subscription on Netflix. It's a documentary movie with an average IMDb audience rating of 6.3 (2,553 votes).",Paul Dugdale,"['Ariana Grande', 'Scott Nicholson', 'Brian Nicholson', 'Joesar Alva', 'Cory Graves', 'Bong Buño', 'Igor Faria', 'Darrion Gallegos', 'Nekai Johnson', 'Mao Kawakami', 'Luz Remigio Frias', 'Taya Shawki', 'Tiley Strozewski', 'Kristopher Terry', 'Victoria Monét', 'Joan Grande', 'Alfredo Flores', 'Josh Liu', 'Allison Kaye', 'Amy Hobby', 'Ariana Grande', 'Dan Cogan', 'Evan Prager', 'Jesse Ignjatovic', 'Liz Garbus', 'Scooter Braun', 'Scott Manson', 'Simon Fisher']"
Story of Kale: When Someone's in Love,6.4,,"['Drama', 'Romance']",2020,[],Indonesia,Netflix,18+ (R),PT1H17M,"After leaving a toxic relationship, Dinda embarks on a romance with Kale, whose view on love soon shatters as he wrestles with his own insecurities.Story of Kale: When Someone's in Love featuring Ardhito Pramono and Aurélie Moeremans is streaming with subscription on Netflix. It's a drama and romance movie with an average IMDb audience rating of 6.4 (273 votes).",Angga Dwimas Sasongko,"['Ardhito Pramono', 'Aurélie Moeremans', 'Arya Saloka', 'Azizah Hanum', 'Tanta Ginting', 'Roy Sungkono', 'Gilbert Pohan', 'Sonny Laksamana', 'Taufan Adryan', 'M. Irfan Ramli']"
Altered Carbon: Resleeved,6.5,,"['Animation', 'Anime']",2020,[],Japan,Netflix,18+ (R),PT1H15M,"On the planet Latimer, Takeshi Kovacs must protect a tattooist while investigating the death of a yakuza boss alongside a no-nonsense CTAC.Altered Carbon: Resleeved featuring Tatsuhisa Suzuki and Rina Sato is streaming with subscription on Netflix. It's an animation and anime movie with an average IMDb audience rating of 6.5 (6,051 votes).",Takeru Nakajima,"['Yoshiyuki Okada', 'Tatsuhisa Suzuki', 'Rina Sato', 'Ayaka Asai', 'Kenji Yamauchi', '山本兼平', 'Kouji Ishii', 'Jouji Nakata', 'Kaori Nakamura', 'Kazumasa Nakamura', 'Atsushi Imaruoka', 'Kenjirou Tsuda', 'Naoto Kobayashi', 'Takayuki Ishii', 'Hisako Tojo', 'Kōichi Sōma', 'Setsuji Sato', 'Ryunosuke Watanuki', 'Hiromichi Tezuka', 'Ayaka Shimizu', 'Eriko Matsui', 'Hinako Yasuda', 'Dai Sato', 'Kondo Tsukasa', 'Richard K. Morgan']"
Carnaval,4,,['Comedy'],2021,[],Brazil,Netflix,,PT1H34M,"After a breakup, an influencer takes her friends on a free trip to Bahia's vibrant Carnival, where she learns life's not just about social media likes.Carnaval featuring Giovana Cordeiro and Gessica Kayane is streaming with subscription on Netflix. It's a comedy movie with a low IMDb audience rating of 4.0 (898 votes).",Leandro Neri,"['Giovana Cordeiro', 'Gessica Kayane', 'Bruna Inocencio', 'Samya Pascotto', 'Flavia Pavanelli', 'Micael Borges', 'Jean Pedro', 'Felipe Adler', 'Nikolas Antunes', 'Rafael Medrado', 'Audemir Leuzinger', 'Felipe Adler', 'Leandro Neri', 'Luisa Mascarenhas']"
Dear Mother,5.8,,"['Drama', 'Comedy']",2020,[],Belgium,Netflix,18+ (R),PT1H38M,"One day, Jean-Louis discovers that his heart has stopped. He is not dead, can walk and talk, but his heart is no longer beating. With the help of his wife and a friend, he tries to understand the origin of this mystery.Dear Mother featuring Laurent Lafitte and Karin Viard is streaming with subscription on Netflix. It's a comedy and drama movie with an average IMDb audience rating of 5.8 (1,337 votes).",Laurent Lafitte,"['Laurent Lafitte', 'Karin Viard', 'Vincent Macaigne', 'Hélène Vincent', 'Nicole Garcia', 'Pauline Clément', 'Christine Beauvallet', 'Jean-Claude Bohbote', 'Charlotte Bienenfeld', 'Cédric Leffray', 'Pascal Lifschutz', 'Thierry Picaud', 'Laurent Lafitte']"
